,date,store_nbr,item_nbr,unit_sales,family,class,perishable,city,state,type,cluster,is_hot
0,2013-01-05,10,108701,4.0,DELI,2644,1,Quito,Pichincha,C,15,0
1510,2013-01-05,12,108701,6.0,DELI,2644,1,Latacunga,Cotopaxi,C,15,1
1586,2013-01-05,12,108786,13.0,CLEANING,3044,0,Latacunga,Cotopaxi,C,15,0
1668,2013-01-05,12,108797,4.0,GROCERY I,1004,0,Latacunga,Cotopaxi,C,15,0
6837,2013-01-05,19,108797,4.0,GROCERY I,1004,0,Guaranda,Bolivar,C,15,1
1743,2013-01-05,12,111223,28.0,GROCERY I,1034,0,Latacunga,Cotopaxi,C,15,1
1825,2013-01-05,12,112830,1.0,GROCERY I,1044,0,Latacunga,Cotopaxi,C,15,0
1937,2013-01-05,12,114790,1.0,GROCERY I,1004,0,Latacunga,Cotopaxi,C,15,0
6755,2013-01-05,19,108786,11.0,CLEANING,3044,0,Guaranda,Bolivar,C,15,0
2012,2013-01-05,12,114799,2.0,PERSONAL CARE,4126,0,Latacunga,Cotopaxi,C,15,0
2148,2013-01-05,12,108952,3.0,CLEANING,3024,0,Latacunga,Cotopaxi,C,15,0
2261,2013-01-05,13,108701,5.0,DELI,2644,1,Latacunga,Cotopaxi,C,15,1
6626,2013-01-05,18,111397,4.0,GROCERY I,1072,0,Quito,Pichincha,B,16,0
2336,2013-01-05,13,108786,43.0,CLEANING,3044,0,Latacunga,Cotopaxi,C,15,1
6579,2013-01-05,18,108952,3.0,CLEANING,3024,0,Quito,Pichincha,B,16,1
2419,2013-01-05,13,108797,5.0,GROCERY I,1004,0,Latacunga,Cotopaxi,C,15,1
2485,2013-01-05,13,111223,29.0,GROCERY I,1034,0,Latacunga,Cotopaxi,C,15,1
2566,2013-01-05,13,112830,4.0,GROCERY I,1044,0,Latacunga,Cotopaxi,C,15,1
6905,2013-01-05,19,111223,23.0,GROCERY I,1034,0,Guaranda,Bolivar,C,15,0
2612,2013-01-05,13,114778,4.0,GROCERY I,1016,0,Latacunga,Cotopaxi,C,15,0
1418,2013-01-05,11,108952,3.0,CLEANING,3024,0,Cayambe,Pichincha,B,6,1
1271,2013-01-05,11,108698,6.0,DELI,2644,1,Cayambe,Pichincha,B,6,1
7337,2013-01-05,19,108952,2.0,CLEANING,3024,0,Guaranda,Bolivar,C,15,0
308,2013-01-05,10,112830,2.0,GROCERY I,1044,0,Quito,Pichincha,C,15,0
351,2013-01-05,10,114778,2.0,GROCERY I,1016,0,Quito,Pichincha,C,15,0
7295,2013-01-05,19,108833,2.0,EGGS,2502,1,Guaranda,Bolivar,C,15,0
385,2013-01-05,10,114790,1.0,GROCERY I,1004,0,Quito,Pichincha,C,15,0
462,2013-01-05,10,114799,10.0,PERSONAL CARE,4126,0,Quito,Pichincha,C,15,1
667,2013-01-05,11,108701,14.0,DELI,2644,1,Cayambe,Pichincha,B,6,1
7164,2013-01-05,19,114799,8.0,PERSONAL CARE,4126,0,Guaranda,Bolivar,C,15,1
747,2013-01-05,11,108786,27.0,CLEANING,3044,0,Cayambe,Pichincha,B,6,1
830,2013-01-05,11,108797,6.0,GROCERY I,1004,0,Cayambe,Pichincha,B,6,1
907,2013-01-05,11,111223,28.0,GROCERY I,1034,0,Cayambe,Pichincha,B,6,0
7083,2013-01-05,19,114790,4.0,GROCERY I,1004,0,Guaranda,Bolivar,C,15,0
989,2013-01-05,11,112830,5.0,GROCERY I,1044,0,Cayambe,Pichincha,B,6,0
1106,2013-01-05,11,114790,10.0,GROCERY I,1004,0,Cayambe,Pichincha,B,6,1
7029,2013-01-05,19,114778,1.0,GROCERY I,1016,0,Guaranda,Bolivar,C,15,0
1189,2013-01-05,11,114799,18.0,PERSONAL CARE,4126,0,Cayambe,Pichincha,B,6,1
6986,2013-01-05,19,112830,3.0,GROCERY I,1044,0,Guaranda,Bolivar,C,15,1
1344,2013-01-05,11,108833,1.0,EGGS,2502,1,Cayambe,Pichincha,B,6,0
6498,2013-01-05,18,108833,20.0,EGGS,2502,1,Quito,Pichincha,B,16,1
