,date,store_nbr,item_nbr,unit_sales,family,class,perishable,city,state,type,cluster,is_hot
0,2013-01-02,5,119624,2.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
70,2013-01-02,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
1,2013-01-04,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
2,2013-01-05,5,119624,6.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
71,2013-01-05,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
3,2013-01-07,5,119624,1.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
72,2013-01-07,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
4,2013-01-08,5,119624,1.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
73,2013-01-08,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
74,2013-02-01,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
105,2013-02-01,5,122418,28.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
5,2013-02-01,5,119624,6.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
6,2013-02-02,5,119624,7.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
106,2013-02-02,5,122418,20.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
75,2013-02-04,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
107,2013-02-04,5,122418,12.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
7,2013-02-04,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
108,2013-02-05,5,122418,22.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
8,2013-02-05,5,119624,3.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
109,2013-02-07,5,122418,14.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
76,2013-02-07,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
9,2013-02-07,5,119624,1.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
110,2013-02-08,5,122418,14.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
10,2013-02-08,5,119624,6.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
111,2013-03-01,5,122418,16.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
11,2013-03-01,5,119624,5.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
77,2013-03-02,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
12,2013-03-02,5,119624,5.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
112,2013-03-02,5,122418,20.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
78,2013-03-04,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
13,2013-03-04,5,119624,2.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
113,2013-03-04,5,122418,18.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
14,2013-03-05,5,119624,5.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
114,2013-03-05,5,122418,23.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
15,2013-03-07,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
115,2013-03-07,5,122418,8.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
116,2013-03-08,5,122418,15.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
16,2013-03-08,5,119624,3.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
17,2013-04-01,5,119624,2.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
117,2013-04-01,5,122418,17.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
79,2013-04-02,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
18,2013-04-02,5,119624,2.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
118,2013-04-04,5,122418,30.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
19,2013-04-04,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
119,2013-04-05,5,122418,2.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
20,2013-04-05,5,119624,7.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
120,2013-04-07,5,122418,18.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
80,2013-04-07,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
21,2013-04-07,5,119624,6.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
121,2013-04-08,5,122418,17.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
22,2013-04-08,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
81,2013-05-01,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
23,2013-05-01,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
122,2013-05-01,5,122418,19.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
82,2013-05-02,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
123,2013-05-02,5,122418,19.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
24,2013-05-02,5,119624,5.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
124,2013-05-04,5,122418,22.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
25,2013-05-04,5,119624,7.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
125,2013-05-05,5,122418,40.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
26,2013-05-05,5,119624,3.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
83,2013-05-05,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
126,2013-05-07,5,122418,7.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
84,2013-05-07,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
27,2013-05-07,5,119624,1.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
28,2013-05-08,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
127,2013-05-08,5,122418,7.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
128,2013-06-01,5,122418,33.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
29,2013-06-01,5,119624,3.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
85,2013-06-02,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
30,2013-06-02,5,119624,6.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
129,2013-06-02,5,122418,29.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
31,2013-06-04,5,119624,4.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
130,2013-06-04,5,122418,21.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
32,2013-06-05,5,119624,1.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
86,2013-06-05,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
131,2013-06-05,5,122418,10.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
87,2013-06-07,5,121964,1.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
33,2013-06-07,5,119624,16.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
132,2013-06-07,5,122418,16.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
133,2013-06-08,5,122418,12.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
34,2013-06-08,5,119624,7.0,BEVERAGES,1122,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
88,2013-06-08,5,121964,2.0,AUTOMOTIVE,6810,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1
134,2013-07-01,5,122418,15.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
135,2013-07-02,5,122418,12.0,GROCERY I,1004,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,0
