,date,store_nbr,item_nbr,unit_sales,family,class,perishable,city,state,type,cluster,is_hot
0,2013-01-05,10,103501,4.0,CLEANING,3008,0,Quito,Pichincha,C,15,0
37,2013-01-05,11,103501,16.0,CLEANING,3008,0,Cayambe,Pichincha,B,6,1
61,2013-01-05,11,103520,4.0,GROCERY I,1028,0,Cayambe,Pichincha,B,6,0
79,2013-01-05,11,103665,7.0,BREAD/BAKERY,2712,1,Cayambe,Pichincha,B,6,1
345,2013-01-05,18,103501,4.0,CLEANING,3008,0,Quito,Pichincha,B,16,0
99,2013-01-05,12,103501,4.0,CLEANING,3008,0,Latacunga,Cotopaxi,C,15,0
123,2013-01-05,12,103520,5.0,GROCERY I,1028,0,Latacunga,Cotopaxi,C,15,1
392,2013-01-05,19,103501,2.0,CLEANING,3008,0,Guaranda,Bolivar,C,15,0
308,2013-01-05,17,103501,8.0,CLEANING,3008,0,Quito,Pichincha,C,12,0
293,2013-01-05,16,103520,3.0,GROCERY I,1028,0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1
161,2013-01-05,13,103520,3.0,GROCERY I,1028,0,Latacunga,Cotopaxi,C,15,1
269,2013-01-05,16,103501,12.0,CLEANING,3008,0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1
179,2013-01-05,14,103501,17.0,CLEANING,3008,0,Riobamba,Chimborazo,C,7,1
246,2013-01-05,15,103520,2.0,GROCERY I,1028,0,Ibarra,Imbabura,C,15,0
202,2013-01-05,14,103520,1.0,GROCERY I,1028,0,Riobamba,Chimborazo,C,7,0
137,2013-01-05,13,103501,8.0,CLEANING,3008,0,Latacunga,Cotopaxi,C,15,1
415,2013-01-05,19,103520,5.0,GROCERY I,1028,0,Guaranda,Bolivar,C,15,1
224,2013-01-05,15,103501,10.0,CLEANING,3008,0,Ibarra,Imbabura,C,15,1
416,2013-01-07,19,103520,1.0,GROCERY I,1028,0,Guaranda,Bolivar,C,15,0
100,2013-01-07,12,103501,3.0,CLEANING,3008,0,Latacunga,Cotopaxi,C,15,0
124,2013-01-07,12,103520,1.0,GROCERY I,1028,0,Latacunga,Cotopaxi,C,15,0
309,2013-01-07,17,103501,3.0,CLEANING,3008,0,Quito,Pichincha,C,12,0
346,2013-01-07,18,103501,3.0,CLEANING,3008,0,Quito,Pichincha,B,16,0
138,2013-01-07,13,103501,4.0,CLEANING,3008,0,Latacunga,Cotopaxi,C,15,0
